ID,WASTETYPE,MODIFYFLAG,MULTIPROVINCE,MEDIATYPE,MEDIANO,EXITFEETYPE,TOLLPROVINCEID,OBUSIGN,IDENTIFICATION,ETCCARDTYPE,CARDNET,CARDID,EXTIME,VLP,VLPC,IDENTIFYVLP,IDENTIFYVLPC,VEHICLESIGNID,VEHICLETYPE,VEHICLECLASS,DESCRIPTION,LANESPINFO,SPINFO,SPECIALTYPE,ENTOLLSTATIONNAME,ENTOLLSTATION,ENTOLLLANE,ENTOLLSTATIONID,ENTOLLLANEID,ENTOLLSTATIONHEX,ENTOLLLANEHEX,ENVLP,ENVLPC,ENTIME,ENWEIGHT,ENAXLECOUNT,EXTOLLSTATIONNAME,EXTOLLSTATION,EXTOLLLANE,EXTOLLSTATIONID,EXTOLLLANEID,EXTOLLSTATIONHEX,EXTOLLLANEHEX,EXWEIGHT,AXLECOUNT,CARDCOSTFEE,UNPAYFEE,UNPAYFLAG,UNPAYCARDCOST,TICKETFEE,UNIFIEDFEE,TRANSCODE,SHIFT,OPERID,OPERNAME,LANEAPPVER,ELECTRICALPERCENTAGE,PARAVER,CHECKSIGN,LANETYPE,OPEN,BL_SUBCENTER,BL_CENTER,LDATE,BATCHNUM,PAKAGEID,PAKAGETIME,CHARGEBATCH,PAYCARDTRANSN,PAYORDERNUM,PAYCODE,VERIFYPASSTIME,PASSID,VEHICLESIGN,PAYFEE,FEE,DISCOUNTFEE,NOCARDCOUNT,FEEMILEAGE,SHORTFEE,SHORTFEEMILEAGE,FEERATE,SPCRATEVERSION,CARDTOTALAMOUNT,OBUTOTALAMOUNT,OBUTOTALDISCOUNTAMOUNT,OBUPROVINCEFEE,TOTALCOUNT,PROVTRANSCOUNT,PROVINCECOUNT,DISCOUNTTYPE,PROVINCEDISCOUNTFEE,ORIGINFEE,ROADTYPE,PAYTYPE,SIGNSTATUS,GENTIME,STATIONRECEIVETIME,RECEIVETIME,BATCHFILENAME,STATUS,PROTIME,RESPONSECODE,RESPONSEINFO,NATIONRECEIVETIME,SPLITCHECKDATE,SPLITCHECKSTATUS,SPLITCHECKTIME,SPLITINFEE,SPLITCROSSFEE,NATIONSPLITTIME,NATIONSPLITTYPE,SPLITFLAG,PROSPLITTIME,PROSPLITTYPE,SPLITOWNERCOUNT,SPLITOWNERGROUP,SPLITOWNERFEEGROUP,SPLITOWNERPAYFEEGROUP,SPLITOWNERDISFEEGROUP,SPLITCHECKFLAG,SPLITCNT,SPLITFEE,REALSPLITCNT,SPLITREMARK,CLEARDATE,CLEARFLAG,CLEARREMARK,SPARE1,SPARE2,SPARE3,CHARGERESULT,ISSUECHARGETIME,SPLITOWNERGROUP1,SPLITOWNERGROUP2,ORIGINALFLAG,VACCINEFLAG,APPOINTID
S003837001002020100402023112100001358,1,1,1,2,3301016100629601,3,370201,,2,,,0,2023-11-21 00:00:02,鲁Q7ZV16,0,鲁Q7ZV16,0.0,S003837001002020100402023112023595248,1,0,0,0100000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,江苏小海站,993201,5,G0015320040040,G00153200400401010050,3202A504,3202A50405,鲁Q7ZV16,0,2023-11-20 19:08:58,2000,2,山东兰陵西站,260102,23,S0038370010020,S00383700100202010040,37013412,3701341217,2000,2,0,0,0,0,0.0,0.0,201,9,20801013,朱锦涛,3.5.1.2,100.0,023719102400101372311130011337210114001183719040100083372308290017837230607001893723111700170372311200966637231120096863723112009667372311200969237221226001903720231102080372308280017737230829001843720231103001,0.0,3.0,0.0,2601.0,26.0,2023-11-20 00:00:00,S0038370010020201004020231120230241020801013,,,,0.0,923112113004051363228998356,,2023-11-21 00:00:40,020000330101610062960120231120190858,0xff,23900.0,23900.0,0.0,-1.0,710904.0,23100.0,505314.0,1.03,23060701.0,-1.0,,,3889.0,-1.0,1.0,2.0,,,,1.0,3.0,1.0,2023-11-21 00:00:40,2023-11-21 00:00:37,2023-11-21 00:00:38,TRANSACTION_EXOTU_REQ_370201_20231121000041736.json,1.0,2023-11-21 00:00:41,200.0,成功！,2023-11-21 00:00:41,2023-11-22 00:00:00,1.0,2023-11-22 09:00:35,3900.0,20000.0,2023-11-22 00:00:00,2.0,1.0,2023-11-21 00:11:27,2.0,8.0,G000237006000820|G000237006003420|G000237006003220|G000237006001120|G000237006001220|S003837001000110|S003837001000210|S003837001001820,226|849|364|1233|244|335|649|0,226|849|364|1233|244|335|649|0,0|0|0|0|0|0|0|0,1.0,1.0,3900.0,1.0,拆分成功,2023-11-21 00:00:00,1.0,清分完成,,,,1.0,2023-11-21 00:00:40,,,1.0,0.0,
G003537002002020202602023112100003321,1,1,1,2,3301016100315932,3,370201,,2,,,0,2023-11-21 00:00:04,鲁R913MJ,0,鲁R913MJ,0.0,G003537002002020202602023112023593541,1,0,0,0100000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,安徽双墩站,993401,4,G4001340010020,G40013400100201010040,34010516,3401051604,鲁R913MJ,0,2023-11-20 19:23:12,0,2,山东菏泽新东站,550102,26,G0035370020020,G00353700200202020260,37016E12,37016E121A,0,2,0,0,0,0,0.0,0.0,201,2,550102025,张婉,3.5.1.2,60.0,023719102400101372311130011337210114001183719040100083372308290017837230607001893723111700170372311200966637231120096863723112009667372311200969237221226001903720231102080372308280017737230829001843720231103001,0.0,3.0,0.0,5501.0,55.0,2023-11-20 00:00:00,G0035370020020202026020231120160048550102025,,,,0.0,231121130040513678,,2023-11-21 00:01:26,020000330101610031593220231120192312,0xff,20400.0,20400.0,0.0,-1.0,460874.0,20400.0,460874.0,1.0,23060701.0,-1.0,,,2951.0,-1.0,1.0,3.0,,,,1.0,3.0,1.0,2023-11-21 00:01:26,2023-11-21 00:01:24,2023-11-21 00:01:25,TRANSACTION_EXOTU_REQ_370201_20231121000127989.json,1.0,2023-11-21 00:01:28,200.0,成功！,2023-11-21 00:01:28,2023-11-22 00:00:00,1.0,2023-11-22 09:00:35,3000.0,17400.0,2023-11-22 00:00:00,2.0,1.0,2023-11-21 00:11:20,2.0,7.0,G003537002000820|G003537002000720|G003537002000620|G003537002000520|G003537002000420|G003537002000320|G003537002001820,247|779|735|235|180|824|0,247|779|735|235|180|824|0,0|0|0|0|0|0|0,1.0,1.0,3000.0,1.0,拆分成功,2023-11-21 00:00:00,1.0,清分完成,,,,1.0,2023-11-21 00:01:26,,,1.0,0.0,
G001837013007020102402023112100001482,1,1,1,2,3201016101152650,6,370201,,2,,,0,2023-11-21 00:00:09,鲁A5MP69,0,鲁A5MP69,0.0,,1,0,0,0100000000000000000000000000001000000000010010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,65,吉林通化收费站,992201,18,G0011220040010,G00112200400101010120,22010297,2201029712,鲁A5MP69,0,2023-11-20 11:33:34,1900,2,山东无棣站,120107,24,G0018370130070,G00183701300702010240,37011817,3701181718,1900,2,0,0,0,0,0.0,0.0,201,7,120106329,苏成焕,3.5.1.2,80.0,023719102400101372311130011337210114001183719040100083372308290017837230607001893723111700170372311200966637231120096863723112009667372311200969237221226001903720231102080372308280017737230829001843720231103001,0.0,3.0,0.0,1201.0,12.0,2023-11-20 00:00:00,G0018370130070201024020231120195907120106329,,,,0.0,03324820231121000001450127,,2023-11-21 00:02:25,020000320101610115265020231120113334,0xff,47200.0,47200.0,0.0,-1.0,1051226.0,47200.0,1051226.0,1.0,23060701.0,-1.0,,,0.0,-1.0,1.0,6.0,,,,1.0,3.0,1.0,2023-11-21 00:02:25,2023-11-21 00:02:23,2023-11-21 00:02:24,TRANSACTION_EXOTU_REQ_370201_20231121000226540.json,1.0,2023-11-21 00:02:26,200.0,成功！,2023-11-21 00:02:26,2023-11-22 00:00:00,1.0,2023-11-22 09:00:35,700.0,46500.0,2023-11-22 00:00:00,2.0,1.0,2023-11-22 00:02:32,2.0,2.0,G001837013000110|G001837013002620,700|0,700|0,0|0,1.0,1.0,700.0,1.0,拆分成功,2023-11-22 00:00:00,1.0,清分完成,,,,1.0,2023-11-21 00:02:25,,,1.0,0.0,
G002537004002010100102023112100001981,1,1,1,2,6201016200574693,3,370201,,2,,,0,2023-11-21 00:00:11,鲁QU1346,0,鲁QU1346,0.0,G002537004002010100102023112100000437,1,0,0,1100000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,江苏班庄站,993201,3,G0025320010020,G00253200100201010030,32026702,3202670203,鲁QU1346,0,2023-11-20 23:36:37,2300,2,山东临沂东站,280302,27,G0025370040020,G00253700400201010010,37013832,370138321B,2300,2,0,0,0,0,0.0,0.0,201,20,660108034,高琳媚,3.5.1.2,100.0,023719102400101372311130011337210114001183719040100083372308290017837230607001893723111700170372311200966637231120096863723112009667372311200969237221226001903720231102080372308280017737230829001843720231103001,0.0,3.0,0.0,2803.0,28.0,2023-11-20 00:00:00,G0025370040020101001020231120235821660108034,,,,0.0,af29bff3feac47b3b4394114235d2a61,,2023-11-21 00:00:56,020000620101620057469320231120233637,0xff,1700.0,1700.0,0.0,-1.0,40831.0,1700.0,40831.0,1.0,23060701.0,-1.0,,,1409.0,-1.0,1.0,2.0,,,,1.0,3.0,1.0,2023-11-21 00:00:56,2023-11-21 00:00:54,2023-11-21 00:00:55,TRANSACTION_EXOTU_REQ_370201_20231121000057760.json,1.0,2023-11-21 00:00:57,200.0,成功！,2023-11-21 00:00:57,2023-11-22 00:00:00,1.0,2023-11-22 09:00:35,1400.0,300.0,2023-11-22 00:00:00,2.0,1.0,2023-11-21 00:11:13,2.0,5.0,G002537004000920|G002537004002220|G002537004002120|G002537004001220|G002537004001820,325|508|155|412|0,325|508|155|412|0,0|0|0|0|0,1.0,1.0,1400.0,1.0,拆分成功,2023-11-21 00:00:00,1.0,清分完成,,,,1.0,2023-11-21 00:00:56,,,1.0,0.0,
G151137003005020100602023112100002220,1,1,1,2,1301017200555964,5,370201,,2,,,0,2023-11-21 00:00:11,鲁AD29782,4,鲁AD29782,4.0,G151137003005020100602023112023595601,1,0,0,0100000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,江苏宿迁站,993201,4,S0096320010010,S00963200100101010040,32028721,3202872104,鲁AD29782,4,2023-11-20 21:00:19,2000,2,山东济宁站,80305,25,G1511370030050,G15113700300502010060,37011035,3701103519,2000,2,0,0,0,0,0.0,0.0,201,15,80305068,马姝娴,3.5.1.2,80.0,023719102400101372311130011337210114001183719040100083372308290017837230607001893723111700170372311200966637231120096863723112009667372311200969237221226001903720231102080372308280017737230829001843720231103001,0.0,3.0,0.0,803.0,8.0,2023-11-20 00:00:00,G1511370030050201006020231120215903080305068,,,,0.0,06ae2fe4af9540a5b0dd7b0ee7681b9f,,2023-11-21 00:01:22,020000130101720055596420231120210019,0xff,13800.0,13800.0,0.0,-1.0,298353.0,13800.0,298353.0,1.0,23060701.0,-1.0,,,0.0,-1.0,1.0,2.0,,,,1.0,3.0,1.0,2023-11-21 00:01:22,2023-11-21 00:01:20,2023-11-21 00:01:20,TRANSACTION_EXOTU_REQ_370201_20231121000123960.json,1.0,2023-11-21 00:01:24,200.0,成功！,2023-11-21 00:01:23,2023-11-22 00:00:00,1.0,2023-11-22 09:00:35,7500.0,6300.0,2023-11-22 00:00:00,2.0,1.0,2023-11-21 00:12:08,2.0,20.0,G000337008000820|G000337008000920|G000337008001020|G000337008003220|G000337008003120|G000337008003020|G000337008002920|G000337008002820|G000337008001320|G000337008002720|G000337008002620|G000337003000720|G000337003000820|G000337003002620|G000337003002520|G151137003000510|G151137003000610|G151137003003410|G151137003003510|G151137003002920,0|421|592|76|155|414|318|779|889|302|368|399|601|313|441|244|682|252|254|0,0|421|592|76|155|414|318|779|889|302|368|399|601|313|441|244|682|252|254|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1.0,1.0,7500.0,1.0,拆分成功,2023-11-21 00:00:00,1.0,清分完成,,,,1.0,2023-11-21 00:01:22,,,1.0,0.0,
S003837004002020102202023112100001921,1,1,1,2,6201016000167131,3,370201,,2,,,0,2023-11-21 00:00:15,鲁QU719Z,0,鲁QU719Z,0.0,S003837004002020102202023112023595841,11,0,0,1001000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000010000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,江苏班庄站,993201,3,G0025320010020,G00253200100201010030,32026702,3202670203,鲁QU719Z,0,2023-11-20 23:32:52,4780,2,山东莒南站,660102,22,S0038370040020,S00383700400202010220,37018412,3701841216,4635,2,0,0,0,0,0.0,0.0,201,16,660102007,葛瑞琦,3.5.1.2,100.0,023720082700101372311130011337210114001183719040100083372308290017837230607001893723111700170372311200966637231120096863723112009667372311200969237221226001903720231102080372308280017737230829001843720231103001,0.0,3.0,0.0,6601.0,66.0,2023-11-20 00:00:00,S0038370040020201022020231120235957660102007,,,,0.0,1700496012735000009d4185VCA902HH,,2023-11-21 00:01:18,020000620101600016713120231120233252,0xff,2000.0,2000.0,0.0,-1.0,43634.0,2000.0,43634.0,1.0,23060701.0,-1.0,,,1692.0,-1.0,1.0,2.0,,,,1.0,3.0,1.0,2023-11-21 00:01:18,2023-11-21 00:01:16,2023-11-21 00:01:17,TRANSACTION_EXOTU_REQ_370201_20231121000120000.json,1.0,2023-11-21 00:01:20,200.0,成功！,2023-11-21 00:01:20,2023-11-22 00:00:00,1.0,2023-11-22 09:00:35,1700.0,300.0,2023-11-22 00:00:00,2.0,1.0,2023-11-21 00:11:09,2.0,5.0,G002537004000920|G002537004002220|S003837004002420|S003837004002220|S003837004000420,329|513|336|522|0,329|513|336|522|0,0|0|0|0|0,1.0,1.0,1700.0,1.0,拆分成功,2023-11-21 00:00:00,1.0,清分完成,,,,1.0,2023-11-21 00:01:18,,,1.0,0.0,
S002637001002020100502023112100002495,1,1,1,2,4301019200506159,3,370201,,2,,,0,2023-11-21 00:00:16,黑AJ8X51,0,黑AJ8X51,0.0,S002637001002020100502023112100000686,1,0,0,0100000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,荣乌天津收费站,991201,4,G0018120030010,G00181200300101010040,12017201,1201720104,黑AJ8X51,0,2023-11-20 20:45:27,2000,2,山东莱芜西站,150202,25,S0026370010020,S00263700100202010050,37011E22,37011E2219,2000,2,0,0,0,0,0.0,0.0,201,15,690102018,亓红,3.5.1.2,100.0,023719102400101372311130011337210114001183719040100083372308290017837230607001893723111700170372311200966637231120096863723112009667372311200969237221226001903720231102080372308280017737230829001843720231103001,0.0,3.0,0.0,1502.0,15.0,2023-11-20 00:00:00,S0026370010020201005020231120233258690102018,,,,0.0,03311620231121000007386360,,2023-11-21 00:01:28,020000430101920050615920231120204527,0xff,16800.0,16800.0,0.0,-1.0,355094.0,16800.0,355094.0,1.0,23060701.0,-1.0,,,11433.0,-1.0,1.0,3.0,,,,1.0,3.0,1.0,2023-11-21 00:01:28,2023-11-21 00:01:26,2023-11-21 00:01:26,TRANSACTION_EXOTU_REQ_370201_20231121000129117.json,1.0,2023-11-21 00:01:29,200.0,成功！,2023-11-21 00:01:29,2023-11-22 00:00:00,1.0,2023-11-22 09:00:35,11400.0,5400.0,2023-11-22 00:00:00,2.0,1.0,2023-11-21 00:11:23,2.0,42.0,G001837013000110|G001837013000210|G001837013000310|G001837013000410|G001837013000510|G001837013000610|G001837013000710|G001837013000810|G001837013000910|G001837013001010|S002937002000110|S002937001000110|S002937001000710|S002937001001110|S002937001001210|S002937001000310|S002937003000110|S002937003000210|S002937003000310|S002937003000410|S002937003000510|S002937003004910|S002937003005110|S002937003000710|S002937003000810|S002937003000910|S002937003001010|S002937003001110|S002937003001210|S002937003001310|S002937003001410|S002937003001510|S002937003001610|S002937003001710|S002937003001810|S002937003001910|S002937003002010|G000237014000510|G000237014000710|G000237012000310|S002637001000110|S002637001000820,730|991|151|404|573|213|114|239|26|0|1494|127|149|760|259|383|52|106|343|292|476|195|317|405|68|31|83|52|15|161|47|59|194|179|62|274|410|27|349|309|281|0,730|991|151|404|573|213|114|239|26|0|1494|127|149|760|259|383|52|106|343|292|476|195|317|405|68|31|83|52|15|161|47|59|194|179|62|274|410|27|349|309|281|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1.0,1.0,11400.0,1.0,拆分成功,2023-11-21 00:00:00,1.0,清分完成,,,,1.0,2023-11-21 00:01:28,,,1.0,0.0,
S760237001003020200602023112100002623,1,1,1,2,4401016103276360,3,370201,,2,,,0,2023-11-21 00:00:18,皖A353DC,0,皖A353DC,0.0,S760237001003020200602023112100000216,1,0,0,0000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,浙江南太湖站,993301,51,G0050330010090,G00503300100904010050,3301151B,3301151B33,皖A353DC,0,2023-11-20 17:12:47,1900,2,山东灵珠山东站,500503,26,S7602370010030,S76023700100302020060,37016453,370164531A,1900,2,0,0,0,0,0.0,0.0,201,15,500504030,安琪,3.5.1.2,100.0,023719102400101372311130011337210114001183719040100083372308290017837230607001893723111700170372311200966637231120096863723112009667372311200969237221226001903720231102080372308280017737230829001843720231103001,0.0,3.0,0.0,5005.0,50.0,2023-11-20 00:00:00,S7602370010030202006020231120184057500504030,,,,0.0,1301202311214156673776,,2023-11-21 00:01:03,020000440101610327636020231120171247,0xff,35800.0,35800.0,0.0,-1.0,910493.0,34700.0,697903.0,1.03,23060701.0,-1.0,,,5805.0,-1.0,1.0,3.0,,,,1.0,3.0,1.0,2023-11-21 00:01:03,2023-11-21 00:00:57,2023-11-21 00:01:01,TRANSACTION_EXOTU_REQ_370201_20231121000105825.json,1.0,2023-11-21 00:01:05,200.0,成功！,2023-11-21 00:01:05,2023-11-22 00:00:00,1.0,2023-11-22 09:00:35,5800.0,30000.0,2023-11-22 00:00:00,2.0,1.0,2023-11-24 00:02:59,2.0,17.0,G001537007000820|G001537007001820|G001537007001020|G001537007001120|G001537007001220|G001537007001320|G001537007001420|G001537006000720|G001537006001820|G001537006001620|G001537006000920|G001537006001020|S760237001000620|S760237001000720|S760237001000820|S760237001000920|S760237001001020,125|72|771|521|93|386|625|397|357|77|1127|160|140|204|378|80|287,125|72|771|521|93|386|625|397|357|77|1127|160|140|204|378|80|287,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1.0,1.0,5800.0,1.0,拆分成功,2023-11-24 00:00:00,1.0,清分完成,,,,1.0,2023-11-21 00:01:03,,,1.0,0.0,
G181537001001020201102023112100001815,1,1,1,2,6201016200521643,3,370201,,1,,,0,2023-11-21 00:00:18,冀A9AD49,1,冀A9AD49,1.0,,12,21,0,1100000010000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000001000001000010000000001110000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,128,河北宁晋站,991301,4,G0020130010060,G00201300100601010040,13131A06,13131A0604,冀A9AD49,1,2023-11-20 18:12:21,17320,2,山东潍城西站,470101,26,G1815370010010,G18153700100102020110,37015E11,37015E111A,17400,2,0,0,0,0,0.0,0.0,201,11,470101049,胥积玉,3.5.1.2,100.0,023719102400101372311130011337210114001183719040100083372308290017837230607001893723111700170372311200966637231120096863723112009667372311200969237221226001903720231102080372308280017737230829001843720231103001,0.0,3.0,0.0,4701.0,47.0,2023-11-20 00:00:00,G1815370010010202011020231120150202470101049,,,,0.0,,,2023-11-21 00:09:56,020000620101620052164320231120181221,0xff,35600.0,0.0,0.0,-1.0,404447.0,0.0,404447.0,0.0,23060701.0,-1.0,,,25735.0,-1.0,1.0,2.0,1.0,35600.0,35600.0,1.0,1.0,1.0,2023-11-21 00:09:56,2023-11-21 00:09:53,2023-11-21 00:09:54,TRANSACTION_EXOTU_REQ_370201_20231121000957487.json,1.0,2023-11-21 00:09:57,200.0,成功！,2023-11-21 00:09:57,2023-11-22 00:00:00,1.0,2023-11-22 09:00:35,0.0,0.0,2023-11-22 00:00:00,2.0,1.0,2023-11-21 00:16:16,2.0,42.0,G002037007000920|G002037007000620|G002037007001020|G002037007001120|G002037007002020|G002037007001920|G002037007002420|G002037007002220|G002037007001420|G000237008002120|G000237008002220|G000237008001310|G000237008001410|G000237008001510|G000237007000210|G000237008001610|G000237008000210|G000237008001810|G002037006003120|G002037006003220|G002037006001420|G002037005002820|G002037005002720|G002037005000920|G002037005001020|G002037005001120|G002037005001220|G002037005001320|G002037005001420|G002037005003120|G002037005003220|G002037004001620|G002037004000720|G002037004000820|G002037004000920|G002037004001020|G002037004001120|G002037004001220|G002037003000720|S002337001000410|G181537001002810|G181537001002920,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1.0,1.0,0.0,1.0,拆分成功,2023-11-21 00:00:00,1.0,清分完成,,,,1.0,2023-11-21 00:09:56,,,1.0,0.0,
S000137002003020200402023112100003735,1,1,1,2,4401016201134514,3,370201,,2,,,0,2023-11-21 00:00:21,鲁PW3751,1,鲁PW3751,1.0,S000137002003020200402023112023595974,16,27,0,0100000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000001000000000010000000001010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,福建漳州北站,993501,5,G0076350030050,G00763500300501010010,35013703,3501370305,鲁PW3751,1,2023-11-19 14:19:05,48300,6,山东聊城站,60103,24,S0001370020030,S00013700200302020040,37010C13,37010C1318,46200,6,0,0,0,0,0.0,0.0,201,55,60103017,胥庆勇,3.5.1.2,100.0,023719102400101372311130011337210114001183719040100083372308290017837230607001893723111700170372311200966637231120096863723112009667372311200969237221226001903720231102080372308280017737230829001843720231103001,0.0,3.0,0.0,601.0,6.0,2023-11-20 00:00:00,S0001370020030202004020231120194506060103017,,,,0.0,170049602348500000aee212TCA963HH,,2023-11-21 00:01:24,020000440101620113451420231119141905,0xff,387500.0,387500.0,0.0,-1.0,1590398.0,387500.0,1590398.0,1.0,23060701.0,-1.0,,,15529.0,-1.0,1.0,7.0,,,,1.0,3.0,1.0,2023-11-21 00:01:24,2023-11-21 00:01:23,2023-11-21 00:01:23,TRANSACTION_EXOTU_REQ_370201_20231121000125977.json,1.0,2023-11-21 00:01:26,200.0,成功！,2023-11-21 00:01:26,2023-11-22 00:00:00,1.0,2023-11-22 09:00:35,46600.0,340900.0,2023-11-22 00:00:00,2.0,1.0,2023-11-21 00:11:09,2.0,25.0,G003537002000820|G003537002000720|G003537002000620|G003537002000520|G003537002000420|G003537002000320|G003537002000220|G003537002000120|G032137006000120|G032137006000220|G032137006000320|G032137006000420|G032137006000520|G032137005000120|G032137004001020|G032137004001120|G032137004001220|G032137004001320|G032137004001420|G032137004001520|G032137004001620|G032137004001720|S000137002001420|S000137002001520|S000137002002320,1239|3905|3686|1176|902|4135|1560|796|1567|1601|2365|3024|547|4597|344|3618|747|1995|1956|2960|758|1547|611|964|0,1239|3905|3686|1176|902|4135|1560|796|1567|1601|2365|3024|547|4597|344|3618|747|1995|1956|2960|758|1547|611|964|0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1.0,1.0,46600.0,1.0,拆分成功,2023-11-21 00:00:00,1.0,清分完成,,,,1.0,2023-11-21 00:01:24,,,1.0,0.0,
